date,tavg,tmin,tmax,prcp,wdir,wspd,pres
1/1/2016,4.8,0.0,11,0.0,318.0,11.9,1013.3899607002501
2/1/2016,5.2,1.0,12,0.0,260.0,8.5,1013.3899607002501
3/1/2016,7.3,0.0,17,0.0,162.55122129055778,5.5,1013.3899607002501
4/1/2016,7.0,0.0,16,0.0,162.55122129055778,5.1,1013.3899607002501
5/1/2016,7.7,0.0,14,0.0,162.55122129055778,6.6,1013.3899607002501
6/1/2016,7.4,5.0,10,0.0,29.0,10.7,1013.3899607002501
7/1/2016,7.8,2.0,13,0.0,319.0,9.6,1011.6
8/1/2016,6.3,2.0,12,0.0,0.0,9.2,1012.4
9/1/2016,4.2,-2.0,11,0.0,25.0,9.2,1013.3899607002501
10/1/2016,5.9,1.0,13,0.0,276.0,8.5,1015.4
11/1/2016,4.6,-2.0,9,0.0,13.0,8.5,1013.3899607002501
12/1/2016,2.8,0.0,5,0.0,354.0,13.8,1013.3899607002501
13/1/2016,2.4,-5.0,10,0.0,162.55122129055778,5.6,1013.3899607002501
14/1/2016,2.8,-4.0,11,0.0,162.55122129055778,5.4,1013.3899607002501
15/1/2016,4.9,0.0,10,0.0,5.0,14.7,1013.3899607002501
16/1/2016,5.5,0.0,11,0.0,352.0,10.1,1013.3899607002501
17/1/2016,5.2,0.0,9,0.0,28.0,13.0,1013.3899607002501
20/1/2016,2.9,-4.0,7,0.0,290.0,17.2,1013.3899607002501
21/1/2016,3.1,-4.0,9,0.0,162.55122129055778,10.1,1013.3899607002501
22/1/2016,4.5,0.0,9,0.0,310.0,13.1,1013.3899607002501
23/1/2016,2.8,-2.0,6,0.0,349.0,8.6,1013.3899607002501
24/1/2016,2.7,-1.0,7,0.0,296.0,16.1,1013.3899607002501
25/1/2016,1.1,-3.0,7,0.0,284.0,12.5,1013.3899607002501
26/1/2016,0.8,-6.0,8,0.0,162.55122129055778,6.4,1013.3899607002501
27/1/2016,2.9,-3.0,12,0.0,162.55122129055778,6.5,1013.3899607002501
28/1/2016,4.2,-4.0,13,0.0,162.55122129055778,5.5,1013.3899607002501
29/1/2016,4.6,1.0,8,0.0,25.0,17.6,1013.3899607002501
31/1/2016,4.7,0.0,10,0.02,178.0,6.9,1019.5
1/2/2016,4.0,2.0,5,0.0,21.0,11.6,1018.5
2/2/2016,4.6,1.0,10,0.0,333.0,11.9,1017.1
3/2/2016,3.2,-2.0,7,0.0,17.0,10.8,1013.3899607002501
4/2/2016,2.1,-3.0,8,0.0,236.0,6.3,1013.3899607002501
5/2/2016,4.8,-2.0,11,0.0,355.0,8.2,1013.3899607002501
6/2/2016,5.8,3.0,8,0.0,25.0,15.5,1011.4
7/2/2016,4.1,2.0,8,0.0,39.0,15.4,1015.1
8/2/2016,3.3,-2.0,11,0.0,2.0,12.5,1017.1
9/2/2016,4.6,-3.0,12,0.0,162.55122129055778,12.9,1008.7
10/2/2016,4.6,1.0,9,0.0,304.0,20.1,1018.0
11/2/2016,2.9,-4.0,10,0.0,32.0,8.4,1013.3899607002501
12/2/2016,6.0,-2.0,11,0.0,168.0,5.5,1030.1
13/2/2016,13.4,7.0,21,0.0,219.0,13.5,1018.7
