date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2016,28.6,15.7,35.3,0,,,6.3,,,
2/1/2016,26.9,15,33.2,0,,,5.5,,,
3/1/2016,25.8,13.2,32.3,0,,,5.5,,,
4/1/2016,27.1,14,34,0,,,6.4,,1015.3,
5/1/2016,27.3,14.8,32.6,0,,,5.8,,1014.4,
6/1/2016,27.4,15.2,33.3,0,,,4.9,,1014.2,
7/1/2016,26.7,19,32.1,1,,,5.7,,,
8/1/2016,27.2,18.8,32.8,4,,,5.7,,1015.4,
9/1/2016,26.6,17.2,32.3,0,,,6.2,,1013.8,
10/1/2016,26.3,16.4,33.8,0,,,6.8,,1014.1,
11/1/2016,26.5,17,33.7,0.4,,,7.2,,,
12/1/2016,25,18.4,30,0,,,7.5,,,
13/1/2016,24.9,19.8,29,16.6,,357,7.9,,,
14/1/2016,24,17.6,28,0,,,7.2,,1012.6,
15/1/2016,24,17.2,27.2,0.6,,,7.6,,1012.2,
16/1/2016,24.4,17.2,28.4,0,,,5.6,,,
17/1/2016,23.9,16.5,29,0,,29,6.5,,1011.5,
18/1/2016,24,16,28.8,0,,,6.7,,,
19/1/2016,23.8,15,28.2,0,,8,9.4,,1012,
20/1/2016,23.4,12.6,29.6,0,,2,9.9,,1013.9,
21/1/2016,25.2,15.2,30.2,0.01,,36,9.4,,,
22/1/2016,25.6,20.8,31.6,0.31,,42,11.5,,,
23/1/2016,26.4,16,33.8,0,,,8.4,,1014.4,
24/1/2016,27,16.4,33,0.43,,,7.7,,1014.5,
25/1/2016,25.3,15.1,31.4,0.01,,,6.4,,1013.6,
26/1/2016,24.1,13.6,29,0.02,,,8.3,,,
27/1/2016,24,17.6,29,0,,340,8.5,,,
28/1/2016,26,14,32,0.47,,,6.7,,,
29/1/2016,27.1,17,32.8,1.06,,,6.8,,,
30/1/2016,27.1,18.2,32,0.79,,321,8.7,,,
31/1/2016,26.8,18,31,0.04,,,7.2,,1013.3,
1/2/2016,26.9,18.6,31.6,2.8,,,7.6,,1014.2,
2/2/2016,26.8,17.5,33,0.98,,331,7.5,,1014.2,
3/2/2016,25.7,15,32.4,0,,,7.3,,1013.8,
4/2/2016,24.9,14.3,30.4,0.75,,,7.8,,1013.1,
5/2/2016,24,16.4,28,0.03,,,8.3,,,
6/2/2016,24.1,16.9,27.4,0,,,7.6,,1011.7,
7/2/2016,23.7,16.8,,0,,,,,,
8/2/2016,24.7,16,29.8,0.08,,,7.3,,1013,
9/2/2016,25.8,17.6,30,0.24,,274,8.3,,1012,
10/2/2016,26.2,19.2,30.2,0.04,,,7.6,,1011.9,
11/2/2016,24.3,19.1,27.4,0.24,,299,10.6,,1012.3,
12/2/2016,24,17.7,27.2,0.91,,12,10.2,,1013,
13/2/2016,24.2,16.8,28,0.08,,18,10.1,,1013.6,
14/2/2016,25.1,16.4,30,1.46,,346,10.4,,,
15/2/2016,25.6,16.4,30,2.05,,,7.5,,,
16/2/2016,26.1,18.6,31.4,1.54,,315,9,,1012.6,
17/2/2016,26.4,21.4,31,2.01,,246,8.6,,1013,
18/2/2016,26.7,18.6,31,3.58,,,7.4,,1012.4,
19/2/2016,26.8,20.7,31,0.63,,,9.2,,,
20/2/2016,28,21,31,3.66,,334,9.1,,1014.3,
21/2/2016,28.6,21.4,32,1.93,,,8.8,,1013.2,
22/2/2016,27.1,18.6,32,0.71,,340,10.4,,1013.6,
23/2/2016,26.3,17.4,31,0.16,,,8.7,,1011.2,
24/2/2016,25.7,20,30,0.28,,198,9.7,,1011.2,
25/2/2016,25.9,19.6,30,0.04,,254,8.2,,1012.2,
26/2/2016,26.8,18.8,31,0.24,,,5.8,,1013,
27/2/2016,28.1,20.2,33,0,,199,7.3,,1012.8,
28/2/2016,27.8,22,31.8,0.39,,225,7.6,,1013.8,
29/2/2016,28.2,23,32,0,,,6.4,,,
1/3/2016,29.3,20.2,34.2,0.12,,,6.7,,1011.8,
2/3/2016,29.7,23.2,33.2,0.02,,,7.2,,1012.4,
3/3/2016,31.3,24.6,35,0.01,,7,9,,1013.5,
4/3/2016,28.4,23,33.6,1.02,,78,8.9,,1012.9,
5/3/2016,28.9,20.7,33,2.68,,335,8.5,,1011.2,
6/3/2016,28.1,19.9,33,2.87,,346,8.8,,1011.3,
7/3/2016,28.6,20,33,2.24,,,7.8,,,
8/3/2016,29.6,21.4,35,6.42,,342,10.1,,1009.7,
9/3/2016,29.2,22.6,34,3.11,,308,10.7,,1010.7,
10/3/2016,29.9,19.2,35,0.87,,333,9.2,,1011.1,
11/3/2016,30,22.4,35,1.61,,307,9.9,,,
12/3/2016,28,21.6,31.6,3.43,,315,10.2,,1011.2,
13/3/2016,26.9,23,30.2,1.1,,315,10.4,,1012.6,
14/3/2016,26.7,20.6,30,0,,8,11.6,,1012.9,
15/3/2016,28.2,22.3,31,0.2,,333,10.9,,1011.4,
16/3/2016,27.3,21.2,30.2,0.35,,291,9.8,,1011.1,
17/3/2016,27.8,22,31,0.16,,265,8.2,,1011.5,
18/3/2016,29.3,21.6,33,0.2,,327,8.3,,1011,
19/3/2016,31.9,23.4,37,0.16,,345,8.9,,1010.7,
20/3/2016,31.2,26.8,37,0.08,,335,9.9,,,
21/3/2016,30.7,23.3,35.6,0.08,,329,10.3,,1011.2,
22/3/2016,30.3,20.4,34.6,0.51,,4,9.3,,,
23/3/2016,31.6,21.5,37.6,0.08,,322,9.8,,1008.4,
24/3/2016,28.9,23.4,32.2,0.24,,240,10.7,,1010.7,
25/3/2016,28.4,24,32.2,0.08,,233,10,,,
26/3/2016,29.3,23.8,31.8,0.12,,261,8.5,,1011.5,
27/3/2016,31.3,23.4,36,0,,,8.2,,,
28/3/2016,30.6,21,35.2,0.03,,322,9.1,,1011,
29/3/2016,29.1,22.2,33.6,0.87,,284,9.3,,1011.6,
30/3/2016,29.1,22.2,34,0.01,,306,9.6,,1011.9,
31/3/2016,28.4,22.8,33,0.02,,318,10.8,,,
1/4/2016,28.3,23.4,32,0.04,,324,10.5,,,
2/4/2016,28.2,23.4,31.6,0.2,,312,10.6,,1010.1,
3/4/2016,28.7,23.4,31.2,0.16,,301,10.4,,,
4/4/2016,29.4,23.6,32,0.43,,295,9.3,,,
5/4/2016,28.7,24.8,31.8,2.13,,293,11.1,,1009.4,
6/4/2016,29,22.5,32,0.2,,,9.6,,1010.5,
7/4/2016,30.1,23.4,33.6,0.01,,327,10.8,,1009.9,
8/4/2016,31.2,24,36,0.02,,345,11.6,,1009.2,
9/4/2016,30.8,25.4,35,0.16,,335,11.4,,1009.4,
10/4/2016,30.6,23.8,34,2.13,,320,12.3,,1010.7,
11/4/2016,31.2,25,36,4.72,,329,12.4,,1010.6,
12/4/2016,31.1,24.2,35.8,0.55,,325,11,,1008.8,
13/4/2016,29.1,23.4,33,0,,315,10.8,,1007.8,
14/4/2016,29.4,22.8,34,0.59,,314,8.4,,1007.6,
15/4/2016,29.8,22.2,34,0.12,,301,11.6,,1008.5,
16/4/2016,29.2,23.4,32.4,3.54,,,12.1,,1008.7,
17/4/2016,29.1,22.7,32.4,1.22,,290,9.7,,1008.6,
18/4/2016,30.2,24.4,33.4,2.36,,314,10.7,,1007.9,
19/4/2016,30.7,25,34,3.46,,322,12.1,,1008.1,
20/4/2016,29.9,26,33,13.03,,294,10.3,,1010.1,
21/4/2016,29,25.3,32.2,0.35,,285,10.5,,1009.7,
22/4/2016,28.6,24,31.6,0,,264,12.2,,1009.9,
