date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,24.1,20,30,0,,67,12.8,,1018.3,
2016-01-02,25,21,28.2,0,,64,15.5,,1017.2,
2016-01-03,21,19,26,0,,254,19,,1018.7,
2016-01-04,19.6,18.6,22.1,7.1,,253,14.8,,1021.5,
2016-01-05,19.6,14.7,22.7,0,,225,13.7,,1020.1,
2016-01-06,20.9,16,24,0,,255,18.2,,1018.4,
2016-01-07,20.2,17,23.5,,,235,13.5,,1019.4,
2016-01-08,20.5,16.3,25.1,0,,186,9.1,,1020,
2016-01-09,21.4,17.6,26.4,0,,123,9.1,,1017.2,
2016-01-10,22.5,18.2,27.1,0,,234,10.7,,1016.9,
2016-01-11,21.2,20.4,24,,,280,12.2,,,
2016-01-12,20.1,15.5,23,,,247,9.7,,1018.5,
2016-01-13,20.6,18.6,23,0,,229,14.5,,1017.4,
2016-01-14,19.8,16,23,0,,240,11.8,,1017.4,
2016-01-15,19.6,15.6,23,,,223,8.7,,1017.6,
2016-01-16,19.4,15.5,23,0,,216,11.4,,,
2016-01-17,20.1,16,23.1,,,207,11.6,,,
2016-01-18,21.6,16.9,26.7,0,,,10.9,,1015.7,
2016-01-19,21.9,17,27.7,0,,59,10.5,,,
2016-01-20,21.1,16.7,25.2,0,,357,9.1,,1019.1,
2016-01-21,20.8,16.4,24.4,0,,,9.9,,,
2016-01-22,20.7,16.7,25,0,,204,9.8,,1019,
2016-01-23,19.9,16,24.8,0,,186,9.7,,1018.2,
2016-01-24,21.6,17,27,0,,130,10.7,,1017.7,
2016-01-25,22.5,17.8,28.1,,,159,10.5,,1015.5,
2016-01-26,21.6,17.6,24.7,,,238,12.7,,,
2016-01-27,22.1,18.3,26,0,,,9.4,,,
2016-01-28,21.7,20,23.8,0,,299,21.5,,,
2016-01-29,18.4,17.8,20,0,,289,28.8,,,
2016-01-30,18.3,17.3,19.3,0,,281,21.1,,,
2016-01-31,18.5,14,21,0,,295,13.1,,1022.1,
2016-02-01,18.8,13.6,22.3,0,,266,9.8,,1021.5,
2016-02-02,18.4,15,21.5,0,,238,9.7,,1020.4,
2016-02-03,18.9,14.3,21.3,,,228,11.5,,1020,
2016-02-04,20.4,15.9,24.7,0,,262,13.9,,1020.8,
2016-02-05,20.4,14.5,25.7,,,64,12,,1022.1,
2016-02-06,19.7,14.4,24.5,0,,251,9.8,,1019,
2016-02-07,19.7,14.7,24.3,0,,217,9.6,,1017.4,
2016-02-08,21.7,15.4,27,0,,103,10.8,,1017.1,
2016-02-09,20.1,16.3,23,0,,237,15.6,,1017.4,
2016-02-10,19.8,15.6,22.7,0,,262,12.5,,1017.5,
2016-02-11,20,15.5,23.8,0,,237,10.4,,1015.6,
2016-02-12,20.1,19,22.2,0,,272,19.5,,1016.9,
2016-02-13,19.5,15.6,22.6,0,,250,11.9,,1018.5,
2016-02-14,20.1,16.2,23.1,0,,272,12.1,,1018.9,
2016-02-15,20.4,16.3,23.6,0,,281,12,,1019.4,
2016-02-16,20,15.9,23.9,0,,244,10.4,,1018.9,
2016-02-17,19.9,16.7,24.9,0,,126,9.7,,1018,
2016-02-18,21.3,17.7,25,4.3,,5,13.6,,1017.9,
2016-02-19,20.5,16,25,0,,246,13.9,,1019.9,
2016-02-20,20.8,15.9,26.3,,,267,11.3,,1020.4,
2016-02-21,22.1,16.4,27.5,0,,267,10,,1018.8,
2016-02-22,24.3,16.9,30.8,0,,58,11.1,,1017.3,
2016-02-23,25.8,19.6,30.7,,,69,10.6,,1016.3,
2016-02-24,27.5,24,33.4,0,,311,11.4,,1013.8,
2016-02-25,24.2,22,28.9,0,,242,11.1,,1014.1,
2016-02-26,22.4,18.9,26.6,0,,223,11.8,,1017.1,
2016-02-27,24.6,21.2,28.4,0,,8,11.8,,,
2016-02-28,25.6,21.6,29,,,21,9.5,,1017.5,
2016-02-29,25.1,22.9,28.8,,,,11.3,,1017.1,
2016-03-01,22.3,20,25,,,247,14.9,,1015.3,
2016-03-02,21.6,18.4,24.1,,,217,11.7,,1014.8,
2016-03-03,24.2,19.8,29,0,,46,15.7,,1015.4,
2016-03-04,24.4,19.9,30,0,,47,13.7,,1014.5,
2016-03-05,25.1,22,28.6,0,,14,11.9,,1011.9,
2016-03-06,25.2,21.6,28.5,0,,22,10.4,,1010.5,
2016-03-07,25.1,22.4,29.9,0,,166,10.1,,1012.3,
2016-03-08,24.4,20.7,28.5,0,,158,8.8,,1012,
2016-03-09,21.3,19,24.2,,,106,12.3,,1010.7,
2016-03-10,22.9,18.5,27,,,234,11.1,,1013.2,
2016-03-11,22.3,19,26.4,0,,226,11.1,,1014.6,
2016-03-12,24.1,17.8,30,0,,219,10.7,,1013.3,
2016-03-13,24.1,19.9,29.3,,,223,14.5,,1012.6,
2016-03-14,24.1,19.5,29.4,0,,203,14,,1013.5,
