date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2016,42,36,44,0,,,14.54,,,
2/1/2016,38,34,41,0,,,12.97,,,
3/1/2016,40,35,48,0,,,14.09,,,
4/1/2016,34,15,38,0,,,19.91,,,
5/1/2016,19,12,29,0,,,12.3,,,
6/1/2016,29,21,40,0,,,7.61,,,
7/1/2016,37,27,46,0,,,3.8,,,
8/1/2016,40,32,47,0,,,8.95,,,
9/1/2016,45,40,53,0.02,,,11.63,,,
10/1/2016,52,41,58,1.28,,,21.03,,,
11/1/2016,38,26,41,0,,,19.69,,,
12/1/2016,33,22,45,0,,,13.87,,,
13/1/2016,29,24,31,0,,,20.8,,,
14/1/2016,29,24,39,0,,,10.51,,,
15/1/2016,40,31,51,0,,,6.93,,,
16/1/2016,48,43,54,0.33,,,13.65,,,
17/1/2016,39,31,43,0.05,,,10.51,,,
18/1/2016,29,20,33,0,,,21.47,,,
19/1/2016,23,18,31,0,,,21.92,,,
20/1/2016,32,28,40,0,,,12.08,,,
21/1/2016,33,27,39,0,,,13.65,,,
22/1/2016,27,21,30,0.01,,,11.41,,,
23/1/2016,29,26,31,2.9,,,25.05,,,
24/1/2016,27,19,35,0,,,12.75,,,
25/1/2016,31,20,39,0,,,4.25,,,
26/1/2016,39,35,45,0,,,9.62,,,
27/1/2016,43,31,45,0,,,11.41,,,
28/1/2016,35,25,42,0,,,3.58,,,
29/1/2016,38,31,42,0,,,13.2,,,
30/1/2016,33,28,39,0,,,11.41,,,
31/1/2016,40,33,48,0,,,8.5,,,
1/2/2016,48,40,60,0,,,9.62,,,
2/2/2016,44,36,52,0,,,5.59,,,
3/2/2016,47,39,56,0.44,,,16.11,,,
4/2/2016,53,43,55,0.04,,,9.62,,,
5/2/2016,39,32,43,0.76,,,17.22,,,
6/2/2016,33,23,38,0,,,8.5,,,
7/2/2016,37,29,45,0,,,6.93,,,
8/2/2016,36,28,39,0.16,,,15.21,,,
9/2/2016,30,26,37,0,,,6.49,,,
10/2/2016,35,32,40,0.02,,,12.97,,,
11/2/2016,28,20,32,0,,,21.92,,,
12/2/2016,22,17,26,0,,,11.86,,,
13/2/2016,22,7,25,0,,,23.04,,,
14/2/2016,8,1,17,0,,,14.32,,,
15/2/2016,19,13,44,0.64,,,6.71,,,
16/2/2016,46,39,54,0.47,,,18.34,,,
17/2/2016,40,36,41,0,,,12.75,,,
18/2/2016,35,27,37,0,,,15.21,,,
19/2/2016,30,24,41,0,,,9.62,,,
20/2/2016,46,40,59,0,,,13.87,,,
21/2/2016,49,39,58,0.08,,,7.16,,,
22/2/2016,45,35,50,0,,,7.38,,,
23/2/2016,39,36,43,0.29,,,15.43,,,
24/2/2016,44,38,58,1.05,,,19.01,,,
25/2/2016,50,38,59,0.04,,,23.49,,,
26/2/2016,38,29,40,0,,,20.58,,,
27/2/2016,33,28,40,0,,,14.09,,,
28/2/2016,43,35,58,0,,,14.76,,,
29/2/2016,48,42,62,0.06,,,14.99,,,
1/3/2016,46,41,53,0,,,13.87,,,
2/3/2016,47,30,53,0.16,,,23.49,,,
3/3/2016,32,27,37,0,,,12.08,,,
4/3/2016,33,30,39,0.13,,,12.75,,,
5/3/2016,35,29,42,0,,,9.17,,,
6/3/2016,37,31,45,0,,,6.71,,,
7/3/2016,42,35,53,0,,,12.3,,,
8/3/2016,51,40,61,0,,,6.71,,,
9/3/2016,50,41,62,0,,,5.37,,,
10/3/2016,59,53,70,0,,,6.26,,,
11/3/2016,61,50,68,0.02,,,12.3,,,
12/3/2016,49,40,54,0,,,8.5,,,
13/3/2016,55,47,63,0,,,8.05,,,
14/3/2016,48,43,51,0.47,,,17.22,,,
15/3/2016,49,45,57,0,,,11.41,,,
16/3/2016,50,42,58,0.01,,,6.49,,,
17/3/2016,51,44,63,0,,,9.17,,,
18/3/2016,52,44,61,0,,,16.55,,,
19/3/2016,44,36,47,0,,,7.16,,,
20/3/2016,40,34,45,0.03,,,10.74,,,
21/3/2016,40,33,51,0.09,,,14.99,,,
22/3/2016,43,36,53,0,,,16.78,,,
23/3/2016,55,45,72,0,,,9.84,,,
24/3/2016,49,45,56,0,,,12.97,,,
25/3/2016,52,45,68,0,,,12.3,,,
26/3/2016,47,38,52,0,,,10.74,,,
27/3/2016,44,40,49,0,,,9.84,,,
28/3/2016,49,43,64,0.48,,,16.33,,,
29/3/2016,51,40,55,0,,,24.61,,,
30/3/2016,44,36,49,0,,,12.08,,,
31/3/2016,53,46,65,0,,,20.58,,,
1/4/2016,56,52,66,0.02,,,14.76,,,
2/4/2016,53,47,60,0.27,,,11.18,,,
3/4/2016,42,36,49,0.1,,,23.26,,,
4/4/2016,42,31,49,0.32,,,10.96,,,
5/4/2016,34,26,43,0,,,16.11,,,
6/4/2016,37,27,48,0,,,12.3,,,
7/4/2016,51,48,59,0.06,,,19.69,,,
8/4/2016,48,39,50,0,,,16.33,,,
9/4/2016,40,33,45,0.09,,,10.96,,,
10/4/2016,40,31,49,0,,,15.66,,,
11/4/2016,48,44,55,0,,,21.7,,,
12/4/2016,52,43,60,0.17,,,17.22,,,
13/4/2016,47,37,55,0,,,8.5,,,
14/4/2016,47,38,57,0,,,7.38,,,
15/4/2016,48,38,58,0,,,6.93,,,
16/4/2016,50,39,67,0,,,8.5,,,
17/4/2016,53,43,69,0,,,7.16,,,
18/4/2016,60,45,78,0,,,8.28,,,
19/4/2016,63,52,72,0,,,14.54,,,
20/4/2016,58,48,67,0,,,12.3,,,
21/4/2016,54,47,64,0,,,13.2,,,
22/4/2016,61,53,71,0.02,,,6.71,,,
23/4/2016,64,54,71,0.12,,,12.3,,,
24/4/2016,56,47,64,0,,,12.08,,,
25/4/2016,55,47,62,0,,,5.37,,,
26/4/2016,56,47,65,0.04,,,10.29,,,
27/4/2016,50,46,54,0,,,9.62,,,
28/4/2016,52,47,59,0,,,8.28,,,
29/4/2016,51,47,57,0.03,,,11.18,,,
30/4/2016,51,47,60,0,,,8.28,,,
1/5/2016,49,45,50,0.22,,,8.28,,,
2/5/2016,49,46,56,0.05,,,5.82,,,
3/5/2016,53,50,54,0.75,,,7.38,,,
4/5/2016,51,49,53,0.07,,,10.96,,,
5/5/2016,51,47,57,0,,,15.43,,,
6/5/2016,51,48,53,0.68,,,14.99,,,
7/5/2016,51,48,56,0,,,6.71,,,
8/5/2016,54,48,68,0.11,,,11.86,,,
9/5/2016,61,47,73,0,,,13.65,,,
10/5/2016,57,48,61,0,,,9.62,,,
11/5/2016,60,48,71,0,,,7.16,,,
12/5/2016,62,51,75,0,,,6.71,,,
13/5/2016,57,52,65,0.25,,,5.37,,,
14/5/2016,63,56,70,0,,,10.29,,,
15/5/2016,56,47,60,0,,,19.91,,,
16/5/2016,53,44,68,0,,,18.79,,,
17/5/2016,59,53,64,0,,,11.18,,,
18/5/2016,57,52,66,0.02,,,7.83,,,
19/5/2016,57,53,64,0,,,7.16,,,
20/5/2016,61,49,75,0,,,7.16,,,
21/5/2016,58,50,62,0.1,,,6.93,,,
22/5/2016,59,54,70,0.06,,,7.16,,,
23/5/2016,61,52,70,0,,,6.49,,,
24/5/2016,65,60,77,0.34,,,6.71,,,
25/5/2016,71,57,87,0,,,9.4,,,
26/5/2016,74,62,84,0,,,9.62,,,
27/5/2016,69,63,77,0,,,9.62,,,
28/5/2016,71,64,79,0,,,11.41,,,
29/5/2016,70,64,78,0.01,,,9.84,,,
30/5/2016,68,64,77,1.05,,,10.29,,,
31/5/2016,70,66,79,0,,,6.04,,,
1/6/2016,73,64,85,0,,,9.4,,,
2/6/2016,66,61,72,0,,,9.62,,,
3/6/2016,65,63,67,0.01,,,5.14,,,
4/6/2016,69,63,78,0,,,7.83,,,
5/6/2016,68,66,71,0.67,,,12.53,,,
6/6/2016,73,67,84,0,,,11.63,,,
7/6/2016,75,66,84,0,,,11.41,,,
8/6/2016,65,54,70,0.66,,,15.66,,,
