date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,22,18.6,26.5,0,,44,16.9,,1015.1,
2016-01-02,22.1,18.1,25.3,0,,155,14.8,,1012.9,
2016-01-03,21.9,19.9,24.3,0,,147,22.9,,1014.7,
2016-01-04,20.3,20.2,25.4,3.6,,101,22.2,,1016.3,
2016-01-05,19.2,17.6,21,51.2,,124,31.4,,1015.5,
2016-01-06,18.1,17.2,19.2,35.6,,163,31.8,,1012.3,
2016-01-07,19.4,16.9,22.3,36.4,,207,34.3,,1014.7,
2016-01-08,21.5,15.8,25.8,0,,162,15.1,,1019.3,
2016-01-09,22.7,18.7,26,0,,92,15,,1020.1,
2016-01-10,24.6,19.1,28.8,0,,16,18.9,,1018.2,
2016-01-11,28.3,21.1,34.6,0,,29,17.6,,1011.4,
2016-01-12,23.3,23.7,33.6,0,,186,22,,1011.9,
2016-01-13,25.9,21.1,31.1,0,,99,21.9,,1016.8,
2016-01-14,22.7,22.9,40.6,0,,305,25.6,,1012.2,
2016-01-15,18.8,14.3,20.4,27.4,,188,37.2,,1023.6,
2016-01-16,19.7,14.4,22.9,7,,168,25.3,,1026.3,
2016-01-17,21.1,16.3,25.1,0.4,,161,18.5,,1023.6,
2016-01-18,23.6,17.2,27.6,0,,26,16.5,,1018.7,
2016-01-19,27.4,19.1,33.3,0,,14,18.8,,1014.7,
2016-01-20,29.3,22.2,40.3,0,,3,17.9,,1010.9,
2016-01-21,26.8,23.4,37.8,0,,38,17.1,,1009.9,
2016-01-22,23.9,22.7,26.9,22.8,,31,14.9,,1008.3,
2016-01-23,22.5,22.5,24.7,22.6,,209,23.3,,1007.3,
2016-01-24,22.7,20.2,25.3,1,,166,17.8,,1012.4,
2016-01-25,23.1,21.1,25,0,,93,16.2,,1013.6,
2016-01-26,24.2,20.1,27.5,17.6,,56,17.9,,1016.6,
2016-01-27,23.7,20.2,26.4,3.6,,20,21.1,,1014.6,
2016-01-28,25.2,21.6,29.4,3.6,,27,18.5,,1006.5,
2016-01-29,23.4,22.1,29.9,0,,55,17.5,,1002.3,
2016-01-30,22.7,19.7,26.3,6.2,,183,17.1,,1003.3,
2016-01-31,25.2,18.8,31.8,23.8,,308,15.8,,1003.1,
2016-02-01,20.6,20.6,24.8,0,,206,14.5,,1003.5,
2016-02-02,22.9,16.4,26.1,2.2,,191,17,,1004.8,
2016-02-03,24.4,19.9,31,0,,25,18.1,,1003.7,
2016-02-04,21.8,19.1,23.7,8.2,,189,44.2,,1011.8,
2016-02-05,22.2,19.8,23.9,1.6,,171,38.3,,1016.8,
2016-02-06,23,19.8,26.7,0.8,,146,24.5,,1017.4,
2016-02-07,22.8,20.4,26.5,0.4,,157,15.9,,1017.3,
2016-02-08,23.9,19.4,27.1,0,,177,15.1,,1018.4,
2016-02-09,23.2,21.5,26.7,0.4,,157,20,,1019.5,
2016-02-10,25.1,20.4,30,0,,6,19.3,,1014.8,
2016-02-11,24.7,20.4,27.9,0,,61,15,,1014.5,
