date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2016,4.8,0,11,0,,318,11.9,,,
2/1/2016,5.2,1,12,0,,260,8.5,,,
3/1/2016,7.3,0,17,0,,,5.5,,,
4/1/2016,7,0,16,0,,,5.1,,,
5/1/2016,7.7,0,14,0,,,6.6,,,
6/1/2016,7.4,5,10,0,,29,10.7,,,
7/1/2016,7.8,2,13,0,,319,9.6,,1011.6,
8/1/2016,6.3,2,12,0,,0,9.2,,1012.4,
9/1/2016,4.2,-2,11,0,,25,9.2,,,
10/1/2016,5.9,1,13,0,,276,8.5,,1015.4,
11/1/2016,4.6,-2,9,0,,13,8.5,,,
12/1/2016,2.8,0,5,0,,354,13.8,,,
13/1/2016,2.4,-5,10,0,,,5.6,,,
14/1/2016,2.8,-4,11,0,,,5.4,,,
15/1/2016,4.9,0,10,0,,5,14.7,,,
16/1/2016,5.5,0,11,0,,352,10.1,,,
17/1/2016,5.2,0,9,0,,28,13,,,
18/1/2016,6.5,4,13,1.97,,351,22,,,
19/1/2016,6,0,9,0.79,,256,16.1,,,
20/1/2016,2.9,-4,7,0,,290,17.2,,,
21/1/2016,3.1,-4,9,0,,,10.1,,,
22/1/2016,4.5,0,9,0,,310,13.1,,,
23/1/2016,2.8,-2,6,0,,349,8.6,,,
24/1/2016,2.7,-1,7,0,,296,16.1,,,
25/1/2016,1.1,-3,7,0,,284,12.5,,,
26/1/2016,0.8,-6,8,0,,,6.4,,,
27/1/2016,2.9,-3,12,0,,,6.5,,,
28/1/2016,4.2,-4,13,0,,,5.5,,,
29/1/2016,4.6,1,8,0,,25,17.6,,,
30/1/2016,3.5,2,6,0.57,,2,22.5,,,
31/1/2016,4.7,0,10,0.02,,178,6.9,,1019.5,
1/2/2016,4,2,5,0,,21,11.6,,1018.5,
2/2/2016,4.6,1,10,0,,333,11.9,,1017.1,
3/2/2016,3.2,-2,7,0,,17,10.8,,,
4/2/2016,2.1,-3,8,0,,236,6.3,,,
5/2/2016,4.8,-2,11,0,,355,8.2,,,
6/2/2016,5.8,3,8,0,,25,15.5,,1011.4,
7/2/2016,4.1,2,8,0,,39,15.4,,1015.1,
8/2/2016,3.3,-2,11,0,,2,12.5,,1017.1,
9/2/2016,4.6,-3,12,0,,,12.9,,1008.7,
10/2/2016,4.6,1,9,0,,304,20.1,,1018,
11/2/2016,2.9,-4,10,0,,32,8.4,,,
12/2/2016,6,-2,11,0,,168,5.5,,1030.1,
13/2/2016,13.4,7,21,0,,219,13.5,,1018.7,
14/2/2016,18.7,16,23,0.43,,204,24.2,,998.9,
15/2/2016,7.3,1,18,0.06,,31,18.2,,,
16/2/2016,3.2,-1,8,0.02,,200,7.8,,,
17/2/2016,4.9,-2,12,0,,282,10.7,,1013.5,
18/2/2016,2.6,-4,8,0,,,6.8,,1024.3,
19/2/2016,7.6,0,16,0,,228,7.6,,1024.3,
20/2/2016,9,6,13,0,,352,9,,1018.6,
21/2/2016,9.5,5,14,1.59,,,13.7,,1012.5,
22/2/2016,5,0,8,0,,,10.7,,1028.1,
23/2/2016,6.3,4,9,0.06,,,10.9,,1020.4,
24/2/2016,4.4,1,7,0,,29,13.4,,1021.1,
25/2/2016,2.1,-1,7,0.04,,60,9.8,,,
26/2/2016,3.5,-2,10,0,,,8.9,,,
27/2/2016,5.3,-2,11,0,,209,10.9,,1023.7,
28/2/2016,7.3,1,11,0,,58,12.9,,1024.6,
29/2/2016,7.8,4,15,0.02,,282,11.7,,,
1/3/2016,3.4,0,8,0.02,,308,15.4,,,
2/3/2016,4.5,-3,11,0,,281,7.8,,1020.2,
3/3/2016,7.4,-2,16,0,,266,7.3,,,
4/3/2016,8.3,4,12,0,,75,12,,1029.3,
5/3/2016,9.8,6,14,0,,31,13.9,,1031.4,
6/3/2016,12,7,16,0,,205,11.7,,1025.2,
7/3/2016,14.6,14,16,0.81,,157,13.1,,1017.7,
8/3/2016,14.5,11,19,0.51,,71,7.8,,1012.6,
9/3/2016,8.3,4,13,0,,39,20.8,,1014.7,
10/3/2016,5.6,4,8,0.85,,31,21.8,,1015.9,
11/3/2016,4.6,3,6,0,,27,15.2,,,
12/3/2016,4.8,1,7,0,,23,14.9,,1022,
13/3/2016,5.7,2,8,0,,15,13.8,,,
14/3/2016,5.9,4,8,0.06,,4,24.1,,1013,
15/3/2016,7.3,3,13,1.42,,334,19.4,,1013.8,
16/3/2016,7.7,1,13,0,,190,7.4,,1022,
17/3/2016,10.6,4,18,0,,,7.3,,1021.1,
18/3/2016,13.4,4,21,0,,193,16.7,,,
19/3/2016,14.8,13,17,0.14,,181,10.3,,1006.7,
20/3/2016,11.2,8,14,0.24,,55,13.2,,,
21/3/2016,8.1,6,11,0.02,,72,12.6,,1017,
22/3/2016,8.8,1,15,0,,,9.2,,,
23/3/2016,9.5,4,15,,,59,14.6,,1012.8,
24/3/2016,5.8,4,7,0,,27,18.6,,,
25/3/2016,6.2,0,11,0.02,,17,13,,,
26/3/2016,5.5,3,8,0,,52,11.4,,1019.9,
27/3/2016,9,5,13,0,,51,12,,,
28/3/2016,10,8,14,0,,22,11.9,,,
29/3/2016,10.5,4,16,0,,65,11.9,,1022.3,
30/3/2016,14.3,9,19,0,,218,14,,,
31/3/2016,12.6,5,18,0,,142,12.4,,,
1/4/2016,11.8,9,16,0,,48,21.5,,,
2/4/2016,9.8,8,11,0.16,,25,18.4,,1025.4,
3/4/2016,13,9,18,0.14,,230,9.8,,,
4/4/2016,15.1,10,21,0.26,,157,19.2,,,
5/4/2016,10.3,9,11,0.14,,62,9,,1013.9,
6/4/2016,12,4,20,0,,210,8.4,,1018.6,
7/4/2016,15.9,11,21,0.33,,178,17.6,,1008.2,
8/4/2016,14.7,11,19,0.96,,86,10.5,,1008.6,
9/4/2016,15.9,9,21,0,,157,14.7,,1013.2,
10/4/2016,15.2,10,23,0,,,10.1,,1008.8,
11/4/2016,9.9,6,14,0,,36,18.4,,1011.8,
12/4/2016,8.4,2,12,0,,100,12.2,,1022.4,
13/4/2016,15.1,11,19,0,,183,14,,1016.1,
14/4/2016,14.7,13,17,0.85,,38,18.5,,1004.3,
15/4/2016,15.1,9,20,0,,304,19,,1013.3,
16/4/2016,14.2,7,19,0,,143,14.5,,1021.1,
17/4/2016,19.1,16,23,0,,195,27.5,,1007.5,
18/4/2016,18,13,26,0.24,,324,14.1,,1007.8,
19/4/2016,15,10,20,0.02,,65,14.3,,1016.4,
20/4/2016,13.2,9,17,0,,101,14.3,,1023.8,
21/4/2016,16.8,13,21,0,,183,13,,1013.8,
22/4/2016,15.3,13,20,0.24,,48,13.9,,1006.2,
23/4/2016,16.6,12,21,0,,131,9.9,,1010.6,
24/4/2016,15,12,18,0.53,,66,15.2,,1013.2,
