STATION,NAME,DATE,DATN,WINDSPEED,HUMIDITY,RAINFALL,PRCP,TAVG,TMAX,TMIN
ASN00086282,"MELBOURNE AIRPORT, AS",1/1/2000,,43,55,0,0.05,59,68,47
ASN00086282,"MELBOURNE AIRPORT, AS",2/1/2000,,26,50,1.2,0,66,76,48
ASN00086282,"MELBOURNE AIRPORT, AS",3/1/2000,,20,67,0,0,65,87,56
ASN00086282,"MELBOURNE AIRPORT, AS",4/1/2000,,20,51,0,0.09,57,66,51
ASN00086282,"MELBOURNE AIRPORT, AS",5/1/2000,,28,50,0,0.03,57,64,52
ASN00086282,"MELBOURNE AIRPORT, AS",6/1/2000,,28,98,0.2,0.03,62,70,53
ASN00086282,"MELBOURNE AIRPORT, AS",7/1/2000,,35,51,0.2,0,61,72,50
ASN00086282,"MELBOURNE AIRPORT, AS",8/1/2000,,24,76,0,0,71,85,52
ASN00086282,"MELBOURNE AIRPORT, AS",9/1/2000,,17,77,0,0,77,90,58
ASN00086282,"MELBOURNE AIRPORT, AS",10/1/2000,,17,73,0,0,73,88,67
ASN00086282,"MELBOURNE AIRPORT, AS",11/1/2000,,22,39,0,0,74,91,59
ASN00086282,"MELBOURNE AIRPORT, AS",12/1/2000,,24,12,0,0,75,89,56
ASN00086282,"MELBOURNE AIRPORT, AS",13/1/2000,,28,59,0,0,78,90,61
ASN00086282,"MELBOURNE AIRPORT, AS",14/1/2000,,26,50,0,0,78,93,62
ASN00086282,"MELBOURNE AIRPORT, AS",15/1/2000,,20,67,0,0,70,84,63
ASN00086282,"MELBOURNE AIRPORT, AS",16/1/2000,,22,22,0,0,60,67,64
ASN00086282,"MELBOURNE AIRPORT, AS",17/1/2000,,37,18,0,0.03,70,83,49
ASN00086282,"MELBOURNE AIRPORT, AS",18/1/2000,,24,73,0,0,78,94,57
ASN00086282,"MELBOURNE AIRPORT, AS",19/1/2000,,46,57,0,0,69,79,63
ASN00086282,"MELBOURNE AIRPORT, AS",20/1/2000,,24,46,0,0,66,82,63
ASN00086282,"MELBOURNE AIRPORT, AS",21/1/2000,,30,55,0,0,59,69,55
ASN00086282,"MELBOURNE AIRPORT, AS",22/1/2000,,24,54,0,0,56,68,51
ASN00086282,"MELBOURNE AIRPORT, AS",23/1/2000,,26,72,0,0.02,55,66,47
ASN00086282,"MELBOURNE AIRPORT, AS",24/1/2000,,26,71,0,0,63,71,44
ASN00086282,"MELBOURNE AIRPORT, AS",25/1/2000,,15,18,0,0.02,64,72,55
ASN00086282,"MELBOURNE AIRPORT, AS",26/1/2000,,26,15,0,0.07,63,75,58
ASN00086282,"MELBOURNE AIRPORT, AS",27/1/2000,,22,23,0,1.22,60,68,58
ASN00086282,"MELBOURNE AIRPORT, AS",28/1/2000,,28,86,0,0.06,59,66,56
ASN00086282,"MELBOURNE AIRPORT, AS",29/1/2000,,17,72,0,0,61,68,53
ASN00086282,"MELBOURNE AIRPORT, AS",30/1/2000,,24,50,0,0,61,69,57
ASN00086282,"MELBOURNE AIRPORT, AS",31/1/2000,,39,21,0,0,61,73,56
ASN00086282,"MELBOURNE AIRPORT, AS",1/2/2000,,28,74,1.8,0,80,91,51
ASN00086282,"MELBOURNE AIRPORT, AS",2/2/2000,,33,46,0.2,0,86,97,64
ASN00086282,"MELBOURNE AIRPORT, AS",3/2/2000,,33,56,1.8,0,75,103,76
ASN00086282,"MELBOURNE AIRPORT, AS",4/2/2000,,35,78,1.2,0.01,89,103,63
ASN00086282,"MELBOURNE AIRPORT, AS",5/2/2000,,11,65,0,0,62,78,70
ASN00086282,"MELBOURNE AIRPORT, AS",6/2/2000,,26,59,0,0,63,71,50
ASN00086282,"MELBOURNE AIRPORT, AS",7/2/2000,,28,82,0,0,67,76,53
ASN00086282,"MELBOURNE AIRPORT, AS",8/2/2000,,22,77,0,0,71,88,61
ASN00086282,"MELBOURNE AIRPORT, AS",9/2/2000,,19,35,0,0,74,83,64
ASN00086282,"MELBOURNE AIRPORT, AS",10/2/2000,,28,74,0,0,76,100,64
ASN00086282,"MELBOURNE AIRPORT, AS",11/2/2000,,19,73,0,0.21,58,63,60
ASN00086282,"MELBOURNE AIRPORT, AS",12/2/2000,,28,47,0,0.07,58,70,51
ASN00086282,"MELBOURNE AIRPORT, AS",13/2/2000,,20,72,0,0,63,79,48
ASN00086282,"MELBOURNE AIRPORT, AS",14/2/2000,,20,78,0,0,67,80,50
ASN00086282,"MELBOURNE AIRPORT, AS",15/2/2000,,31,35,0,0,72,85,54
ASN00086282,"MELBOURNE AIRPORT, AS",16/2/2000,,31,65,0,0,79,91,59
ASN00086282,"MELBOURNE AIRPORT, AS",17/2/2000,,28,91,0.6,0,80,96,64
ASN00086282,"MELBOURNE AIRPORT, AS",18/2/2000,,44,49,2.6,0,85,98,60
ASN00086282,"MELBOURNE AIRPORT, AS",19/2/2000,,30,77,0.6,0,84,99,72
ASN00086282,"MELBOURNE AIRPORT, AS",20/2/2000,,15,92,2.2,0.03,71,82,68
ASN00086282,"MELBOURNE AIRPORT, AS",21/2/2000,,24,63,0,0.01,77,93,65
ASN00086282,"MELBOURNE AIRPORT, AS",22/2/2000,,9,79,0,0.16,70,77,65
ASN00086282,"MELBOURNE AIRPORT, AS",23/2/2000,,9,85,0,0.02,69,80,65
ASN00086282,"MELBOURNE AIRPORT, AS",24/2/2000,,9,76,2.8,0.09,73,87,65
ASN00086282,"MELBOURNE AIRPORT, AS",25/2/2000,,6,75,0.8,0,79,93,64
ASN00086282,"MELBOURNE AIRPORT, AS",26/2/2000,,28,73,20,0.76,63,75,71
ASN00086282,"MELBOURNE AIRPORT, AS",27/2/2000,,20,72,0,0,60,71,57
ASN00086282,"MELBOURNE AIRPORT, AS",28/2/2000,,26,68,0,0,65,75,52
ASN00086282,"MELBOURNE AIRPORT, AS",29/2/2000,,26,31,0,0,69,80,59
ASN00086282,"MELBOURNE AIRPORT, AS",1/3/2000,,20,84,0,0,80,91,61
ASN00086282,"MELBOURNE AIRPORT, AS",2/3/2000,,13,69,0,0,80,96,70
ASN00086282,"MELBOURNE AIRPORT, AS",3/3/2000,,20,75,0,0,61,70,66
ASN00086282,"MELBOURNE AIRPORT, AS",4/3/2000,,28,78,0,0.18,60,70,54
ASN00086282,"MELBOURNE AIRPORT, AS",5/3/2000,,13,62,0,0,62,71,51
ASN00086282,"MELBOURNE AIRPORT, AS",6/3/2000,,11,74,0,0.12,61,67,57
ASN00086282,"MELBOURNE AIRPORT, AS",7/3/2000,,24,35,0,0,63,78,55
ASN00086282,"MELBOURNE AIRPORT, AS",8/3/2000,,15,88,0,0,64,78,52
ASN00086282,"MELBOURNE AIRPORT, AS",9/3/2000,,7,65,0,0,68,79,52
ASN00086282,"MELBOURNE AIRPORT, AS",10/3/2000,,19,64,0,0,75,86,58
ASN00086282,"MELBOURNE AIRPORT, AS",11/3/2000,,30,50,0,0,73,89,66
ASN00086282,"MELBOURNE AIRPORT, AS",12/3/2000,,20,57,0,0,73,83,60
ASN00086282,"MELBOURNE AIRPORT, AS",13/3/2000,,33,65,0,0,73,93,64
ASN00086282,"MELBOURNE AIRPORT, AS",14/3/2000,,19,65,0,0,63,72,57
ASN00086282,"MELBOURNE AIRPORT, AS",15/3/2000,,28,95,0,0,61,69,58
ASN00086282,"MELBOURNE AIRPORT, AS",16/3/2000,,13,84,0,0,65,77,51
ASN00086282,"MELBOURNE AIRPORT, AS",17/3/2000,,17,76,0,0,85,93,54
ASN00086282,"MELBOURNE AIRPORT, AS",18/3/2000,,24,89,0,0,69,85,68
ASN00086282,"MELBOURNE AIRPORT, AS",19/3/2000,,11,82,0,0,64,75,62
ASN00086282,"MELBOURNE AIRPORT, AS",20/3/2000,,17,72,0,0.04,60,68,56
ASN00086282,"MELBOURNE AIRPORT, AS",21/3/2000,,26,45,0,0,65,75,50
ASN00086282,"MELBOURNE AIRPORT, AS",22/3/2000,,19,70,0,0,65,81,57
ASN00086282,"MELBOURNE AIRPORT, AS",23/3/2000,,19,82,1.4,0.63,56,64,51
ASN00086282,"MELBOURNE AIRPORT, AS",24/3/2000,,11,95,0,0,57,68,50
ASN00086282,"MELBOURNE AIRPORT, AS",25/3/2000,,11,54,0,0,66,80,48
ASN00086282,"MELBOURNE AIRPORT, AS",26/3/2000,,17,48,0,0,71,83,54
ASN00086282,"MELBOURNE AIRPORT, AS",27/3/2000,,35,51,0,0,66,83,59
ASN00086282,"MELBOURNE AIRPORT, AS",28/3/2000,,31,74,0,0,60,71,59
ASN00086282,"MELBOURNE AIRPORT, AS",29/3/2000,,41,75,0.2,0,62,73,52
ASN00086282,"MELBOURNE AIRPORT, AS",30/3/2000,,50,61,1.8,0,62,73,53
ASN00086282,"MELBOURNE AIRPORT, AS",31/3/2000,,7,65,1.6,0,64,77,51
ASN00086282,"MELBOURNE AIRPORT, AS",1/4/2000,,22,74,4,0.03,54,61,53
ASN00086282,"MELBOURNE AIRPORT, AS",2/4/2000,,15,86,1.4,0,64,76,44
ASN00086282,"MELBOURNE AIRPORT, AS",3/4/2000,,24,74,0,0,60,74,56
ASN00086282,"MELBOURNE AIRPORT, AS",4/4/2000,,19,77,0,0,59,72,49
ASN00086282,"MELBOURNE AIRPORT, AS",5/4/2000,,13,71,0,0.73,56,65,55
ASN00086282,"MELBOURNE AIRPORT, AS",6/4/2000,,17,97,0.8,0,58,66,48
ASN00086282,"MELBOURNE AIRPORT, AS",7/4/2000,,19,99,1.8,0,56,67,49
ASN00086282,"MELBOURNE AIRPORT, AS",8/4/2000,,15,89,0.4,0,64,77,46
ASN00086282,"MELBOURNE AIRPORT, AS",9/4/2000,,17,93,0,0,66,80,51
ASN00086282,"MELBOURNE AIRPORT, AS",10/4/2000,,20,60,0,0,63,77,53
ASN00086282,"MELBOURNE AIRPORT, AS",11/4/2000,,35,66,0,0,65,81,53
ASN00086282,"MELBOURNE AIRPORT, AS",12/4/2000,,26,72,0,0,67,78,54
ASN00086282,"MELBOURNE AIRPORT, AS",13/4/2000,,15,80,0.4,0,66,74,59
ASN00086282,"MELBOURNE AIRPORT, AS",14/4/2000,,11,89,0,0.24,60,71,62
ASN00086282,"MELBOURNE AIRPORT, AS",15/4/2000,,20,88,0.2,0.16,63,72,49
ASN00086282,"MELBOURNE AIRPORT, AS",16/4/2000,,15,79,0,0.01,58,72,56
ASN00086282,"MELBOURNE AIRPORT, AS",17/4/2000,,13,100,0,0.11,56,65,48
ASN00086282,"MELBOURNE AIRPORT, AS",18/4/2000,,15,90,0.2,0,59,69,47
ASN00086282,"MELBOURNE AIRPORT, AS",19/4/2000,,30,45,0,0,57,65,52
ASN00086282,"MELBOURNE AIRPORT, AS",20/4/2000,,37,49,0,0,57,67,50
ASN00086282,"MELBOURNE AIRPORT, AS",21/4/2000,,20,80,0,0,52,63,50
ASN00086282,"MELBOURNE AIRPORT, AS",22/4/2000,,13,91,0.2,0.05,54,61,47
ASN00086282,"MELBOURNE AIRPORT, AS",23/4/2000,,7,92,1.2,0,53,65,47
ASN00086282,"MELBOURNE AIRPORT, AS",24/4/2000,,15,97,1.4,0,54,61,46
ASN00086282,"MELBOURNE AIRPORT, AS",25/4/2000,,6,82,0,0,53,66,44
ASN00086282,"MELBOURNE AIRPORT, AS",26/4/2000,,17,93,0,0,58,73,44
ASN00086282,"MELBOURNE AIRPORT, AS",27/4/2000,,2,87,0,0,62,74,45
ASN00086282,"MELBOURNE AIRPORT, AS",28/4/2000,,22,73,0.8,0,65,75,52
ASN00086282,"MELBOURNE AIRPORT, AS",29/4/2000,,37,80,1.2,0,68,78,58
ASN00086282,"MELBOURNE AIRPORT, AS",30/4/2000,,28,86,3.4,0.23,54,61,57
ASN00086282,"MELBOURNE AIRPORT, AS",1/5/2000,,13,74,2.8,0.17,53,66,46
ASN00086282,"MELBOURNE AIRPORT, AS",2/5/2000,,43,76,0,0,54,67,41
ASN00086282,"MELBOURNE AIRPORT, AS",3/5/2000,,13,67,0,0,57,65,45
ASN00086282,"MELBOURNE AIRPORT, AS",4/5/2000,,7,100,0,0.61,56,60,53
ASN00086282,"MELBOURNE AIRPORT, AS",5/5/2000,,11,100,0,0.2,55,60,55
ASN00086282,"MELBOURNE AIRPORT, AS",6/5/2000,,20,86,0,0.48,54,59,50
ASN00086282,"MELBOURNE AIRPORT, AS",7/5/2000,,24,77,0,0,57,65,51
ASN00086282,"MELBOURNE AIRPORT, AS",8/5/2000,,15,79,0,0,59,67,52
ASN00086282,"MELBOURNE AIRPORT, AS",9/5/2000,,22,81,0,0,54,63,52
ASN00086282,"MELBOURNE AIRPORT, AS",10/5/2000,,11,77,2.6,0.01,56,69,47
ASN00086282,"MELBOURNE AIRPORT, AS",11/5/2000,,26,87,3.4,0,56,66,47
ASN00086282,"MELBOURNE AIRPORT, AS",12/5/2000,,2,90,0,0,61,67,48
ASN00086282,"MELBOURNE AIRPORT, AS",13/5/2000,,19,71,0.6,0.02,57,63,55
ASN00086282,"MELBOURNE AIRPORT, AS",14/5/2000,,24,81,1.4,0,53,59,51
ASN00086282,"MELBOURNE AIRPORT, AS",15/5/2000,,35,88,1,0,53,60,48
ASN00086282,"MELBOURNE AIRPORT, AS",16/5/2000,,19,80,0.4,0.08,54,63,45
ASN00086282,"MELBOURNE AIRPORT, AS",17/5/2000,,20,76,0.2,0.01,47,59,48
ASN00086282,"MELBOURNE AIRPORT, AS",18/5/2000,,9,82,0.2,0,50,62,38
ASN00086282,"MELBOURNE AIRPORT, AS",19/5/2000,,19,69,0,0,54,59,41
ASN00086282,"MELBOURNE AIRPORT, AS",20/5/2000,,31,71,0,0,51,61,50
ASN00086282,"MELBOURNE AIRPORT, AS",21/5/2000,,57,72,0.4,0.02,51,58,43
ASN00086282,"MELBOURNE AIRPORT, AS",22/5/2000,,30,69,2,0,51,58,47
ASN00086282,"MELBOURNE AIRPORT, AS",23/5/2000,,15,83,1.4,0,50,56,45
ASN00086282,"MELBOURNE AIRPORT, AS",24/5/2000,,7,76,0,0,52,58,47
ASN00086282,"MELBOURNE AIRPORT, AS",25/5/2000,,19,84,0,0,53,59,46
ASN00086282,"MELBOURNE AIRPORT, AS",26/5/2000,,39,77,0,0.02,47,57,49
ASN00086282,"MELBOURNE AIRPORT, AS",27/5/2000,,54,50,0,0.22,43,50,40
ASN00086282,"MELBOURNE AIRPORT, AS",28/5/2000,,35,61,0,0.09,44,50,39
ASN00086282,"MELBOURNE AIRPORT, AS",29/5/2000,,13,86,6.8,0.07,45,55,41
ASN00086282,"MELBOURNE AIRPORT, AS",30/5/2000,,22,73,0.6,0.54,48,54,39
ASN00086282,"MELBOURNE AIRPORT, AS",31/5/2000,,19,67,0,0.57,50,56,43
ASN00086282,"MELBOURNE AIRPORT, AS",1/6/2000,,28,74,1.8,0.32,49,55,48
ASN00086282,"MELBOURNE AIRPORT, AS",2/6/2000,,20,74,0,0.06,50,54,46
ASN00086282,"MELBOURNE AIRPORT, AS",3/6/2000,,20,75,0,0,52,61,45
ASN00086282,"MELBOURNE AIRPORT, AS",4/6/2000,,24,73,4.8,0.02,45,55,45
ASN00086282,"MELBOURNE AIRPORT, AS",5/6/2000,,24,75,0.2,0.11,47,52,38
ASN00086282,"MELBOURNE AIRPORT, AS",6/6/2000,,30,71,0.6,0.2,50,56,44
ASN00086282,"MELBOURNE AIRPORT, AS",7/6/2000,,13,68,2,0.05,52,56,47
ASN00086282,"MELBOURNE AIRPORT, AS",8/6/2000,,24,67,0,0,52,59,49
ASN00086282,"MELBOURNE AIRPORT, AS",9/6/2000,,19,80,0.4,0,51,57,46
ASN00086282,"MELBOURNE AIRPORT, AS",10/6/2000,,44,67,0,0,50,57,46
ASN00086282,"MELBOURNE AIRPORT, AS",11/6/2000,,31,73,1.2,0.02,47,57,45
ASN00086282,"MELBOURNE AIRPORT, AS",12/6/2000,,35,61,0,0,45,,39
ASN00086282,"MELBOURNE AIRPORT, AS",13/6/2000,2,17,82,0.2,0,44,55,
ASN00086282,"MELBOURNE AIRPORT, AS",14/6/2000,,7,96,2,0,49,58,36
ASN00086282,"MELBOURNE AIRPORT, AS",15/6/2000,,17,96,4,0,51,56,44
ASN00086282,"MELBOURNE AIRPORT, AS",16/6/2000,,11,77,0,0,49,56,46
ASN00086282,"MELBOURNE AIRPORT, AS",17/6/2000,,59,75,0,0.02,50,61,43
ASN00086282,"MELBOURNE AIRPORT, AS",18/6/2000,,28,59,0,0,47,59,41
ASN00086282,"MELBOURNE AIRPORT, AS",19/6/2000,,37,59,0,0,50,57,37
ASN00086282,"MELBOURNE AIRPORT, AS",20/6/2000,,43,61,0.6,0,52,57,43
ASN00086282,"MELBOURNE AIRPORT, AS",21/6/2000,,41,41,0,0.09,52,57,48
ASN00086282,"MELBOURNE AIRPORT, AS",22/6/2000,,43,56,5.6,0.02,49,54,48
ASN00086282,"MELBOURNE AIRPORT, AS",23/6/2000,,30,71,4.4,0.05,53,57,45
ASN00086282,"MELBOURNE AIRPORT, AS",24/6/2000,,26,73,0,0,53,61,48
