"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WESD"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-01","7.38","0.00","39","46","31","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-02","7.61","0.00","46","54","37","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-03","3.13","0.00","53","60","46","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-04","14.54","0.62","51","55","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-05","17.67","0.04","38","47","28","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-06","10.51","0.00","33","42","23","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-07","14.09","0.00","42","49","35","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-08","13.42","0.00","34","38","29","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-09","7.16","0.01","43","49","37","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-10","15.43","0.58","49","55","42","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-11","20.80","0.00","47","53","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-12","17.00","0.00","44","48","39","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-13","16.11","0.01","29","40","18","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-14","25.28","0.00","19","23","14","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-15","9.84","0.00","24","31","16","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-16","21.25","0.00","35","47","22","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-17","24.61","0.00","15","22","8","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-18","12.75","0.00","12","19","4","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-19","9.84","0.00","20","30","10","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-20","13.42","0.09","24","28","20","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-21","27.29","0.00","17","24","10","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-22","18.79","0.00","15","21","9","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-23","7.38","0.01","22","27","16","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-24","7.61","0.00","30","36","24","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-25","308.03","0.53","30","33","26","0.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-26","14.54","0.01","27","31","22","0.5"
